title,overview,poster_path,vote_average,genre_ids
Monika,"Monika is young, beautiful and a virgin. She is only 16 years old, and, beside getting the attention of all her classmates, she also attracts older men. She has a relationship with a boy, Leo, but she doesn't know that he uses to pimp the girls he seduces to rich businessmen. One of Leo's client befriends Monika and becomes so obsessed that he pays Leo to get her. But Monika turns her attention to her art professor, unknowing that he too has his secrets.",/y8Byo8Mwd1a9JwISWLYR0zVxA5.jpg,4.7,"[10749, 18]"
Deool Band 2,"The story follows a farmer who decides to question and test his faith, setting off a journey filled with emotional and life-altering moments. At its core, the narrative centers on a woman who tirelessly struggles for her family, facing hardships with resilience, as her path ultimately leads her to confront the very idea of divine power",/89n9cfc5dm0kdkABmDJalzveEwU.jpg,0.0,"[35, 18]"
Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg,7.743,"[28, 878, 12]"
Virgin,"Iris, an 18-year old virgin marries Joaquin, a rich widower, because of money. However, when he learns that Iris is not really a virgin, their honeymoon turns to a bloodbath.",/iVS3ZiPsKy8Hhc5Dipqgrjmoj2b.jpg,6.619,"[18, 10749]"
Fuze,An unexploded WWII bomb is discovered on a busy construction site in the centre of London. Chaos ensues as the military and police begin a mass evacuation against a ticking clock.,/oMFdQE5hMJ9JjhNORegwTo0GKmh.jpg,6.466,"[28, 80, 18, 53]"
Real Steel,"Charlie Kenton is a washed-up fighter who retired from the ring when robots took over the sport. After his robot is trashed, he reluctantly teams up with his estranged son to rebuild and train an unlikely contender.",/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,7.089,"[28, 878, 18]"
Krishnavataram Part 1: The Heart (Hridayam),"An epic devotional narrative that reimagines the journey of Lord Krishna, tracing his path from Dwarka to Kurukshetra after parting ways with Radha. As his journey unfolds, it explores his connection with people, his layered personality, and the lessons he imparts about love and life.",/7AxJYvPWLlNiGH52A9eenDxQzu8.jpg,8.5,"[12, 10749, 18]"
Kaulayaw,"Two college schoolmates venture into the world of cybersex to support their needs. They fulfill their fans' sexual fantasy only to realized that they too, are falling for each other.",/qifjfp5a2gHQ0WsGhTvlamPshnH.jpg,5.8,[18]
Dime lo que quieres (de verdad),"Diego and Emilia are a conservative couple with 16 years of marriage who have lost the spark, until Tomás and Betina rescue them and introduce them to the forbidden world, changing what they know about intimacy, relationships, and sex.",/2ynUMfrwnEdGmkZmpiiJmTdTi4w.jpg,7.8,"[10749, 18, 35]"
Sundutan,"A hole on the wall accidentally connects two women emotionally and physically. Forbidden love, greed, betrayal... what lies beyond the hole? And for how long can they keep covering it up?",/2neZgVuY7prWIak5hhNKT53Hk0N.jpg,4.0,[18]
